Daily Loan Principal & Interest Calculation Spreadsheet,,,,,,,,,,,,,,
BMB_Loan_Payment_1st_Payment_07_12_17.xls,,,,,13-Nov-2025,,,,,,,,,
Beginning Balance:,,$0.00 ,,,APR:,8.00%,Daily:,0.021918%,,,,,,
Beginning day of Loan,,26-Jan-2015,,,Maturity:,60 mos =,5 years,,,,,,,
First payment date,,,,,Payment:,$0.00 ,,,,,,,,
,,,,,System digit truncation:,,8 digits,,,,,,,
"Required inputs in the table are the amounts of fees and payments, input on the days they were charged or paid.  ",,,,,,,,,,,,,,
Date,Beginning Balance,Fees Chgd,Interest Rate,Interest Accrued each Day,Cumulative Interest Accrued,Payment,Fees Paid,Interest Paid,Principal Paid,Remaining Balance,Balance + Interest Due,Total Interest Paid,,
26-Jan-2015,"15,000.00",,8.00%,0.00,0.00,0.00,0.00,0.00,0.00,"15,000.00","15,000.00",0.00,,
27-Jan-2015,"15,000.00",,8.00%,3.29,3.29,,,0.00,0.00,"15,000.00","15,003.29",0.00,,
28-Jan-2015,"15,000.00",,8.00%,3.29,6.58,,,0.00,0.00,"15,000.00","15,006.58",0.00,,
29-Jan-2015,"15,000.00",,8.00%,3.29,9.86,,,0.00,0.00,"15,000.00","15,009.86",0.00,,
30-Jan-2015,"15,000.00",,8.00%,3.29,13.15,,,0.00,0.00,"15,000.00","15,013.15",0.00,,
31-Jan-2015,"15,000.00",,8.00%,3.29,16.44,,,0.00,0.00,"15,000.00","15,016.44",0.00,,
1-Feb-2015,"15,000.00",,8.00%,3.29,19.73,,,0.00,0.00,"15,000.00","15,019.73",0.00,,
2-Feb-2015,"15,000.00",,8.00%,3.29,23.01,,,0.00,0.00,"15,000.00","15,023.01",0.00,,
3-Feb-2015,"15,000.00",,8.00%,3.29,26.30,,,0.00,0.00,"15,000.00","15,026.30",0.00,,
4-Feb-2015,"15,000.00",,8.00%,3.29,29.59,,,0.00,0.00,"15,000.00","15,029.59",0.00,,
5-Feb-2015,"15,000.00",,8.00%,3.29,32.88,,,0.00,0.00,"15,000.00","15,032.88",0.00,,
6-Feb-2015,"15,000.00",,8.00%,3.29,36.16,,,0.00,0.00,"15,000.00","15,036.16",0.00,,
7-Feb-2015,"15,000.00",,8.00%,3.29,39.45,,,0.00,0.00,"15,000.00","15,039.45",0.00,,
8-Feb-2015,"15,000.00",,8.00%,3.29,42.74,,,0.00,0.00,"15,000.00","15,042.74",0.00,,
9-Feb-2015,"15,000.00",,8.00%,3.29,46.03,,,0.00,0.00,"15,000.00","15,046.03",0.00,,
10-Feb-2015,"15,000.00",,8.00%,3.29,49.32,,,0.00,0.00,"15,000.00","15,049.32",0.00,,
11-Feb-2015,"15,000.00",,8.00%,3.29,52.60,,,0.00,0.00,"15,000.00","15,052.60",0.00,,
12-Feb-2015,"15,000.00",,8.00%,3.29,55.89,,,0.00,0.00,"15,000.00","15,055.89",0.00,,
13-Feb-2015,"15,000.00",,8.00%,3.29,59.18,,,0.00,0.00,"15,000.00","15,059.18",0.00,,
14-Feb-2015,"15,000.00",,8.00%,3.29,62.47,,,0.00,0.00,"15,000.00","15,062.47",0.00,,
15-Feb-2015,"15,000.00",,8.00%,3.29,65.75,,,0.00,0.00,"15,000.00","15,065.75",0.00,,
16-Feb-2015,"15,000.00",,8.00%,3.29,69.04,,,0.00,0.00,"15,000.00","15,069.04",0.00,,
17-Feb-2015,"15,000.00",,8.00%,3.29,72.33,,,0.00,0.00,"15,000.00","15,072.33",0.00,,
18-Feb-2015,"15,000.00",,8.00%,3.29,75.62,,,0.00,0.00,"15,000.00","15,075.62",0.00,,
19-Feb-2015,"15,000.00",,8.00%,3.29,78.90,,,0.00,0.00,"15,000.00","15,078.90",0.00,,
20-Feb-2015,"15,000.00",,8.00%,3.29,82.19,,,0.00,0.00,"15,000.00","15,082.19",0.00,,
21-Feb-2015,"15,000.00",,8.00%,3.29,85.48,,,0.00,0.00,"15,000.00","15,085.48",0.00,,
22-Feb-2015,"15,000.00",,8.00%,3.29,88.77,,,0.00,0.00,"15,000.00","15,088.77",0.00,,
23-Feb-2015,"37,000.00",,8.00%,8.11,96.88,,,0.00,0.00,"37,000.00","37,096.88",0.00,,
24-Feb-2015,"37,000.00",,8.00%,8.11,104.99,,,0.00,0.00,"37,000.00","37,104.99",0.00,,
25-Feb-2015,"37,000.00",,8.00%,8.11,113.10,,,0.00,0.00,"37,000.00","37,113.10",0.00,,
26-Feb-2015,"37,000.00",,8.00%,8.11,121.21,,,0.00,0.00,"37,000.00","37,121.21",0.00,,
27-Feb-2015,"37,000.00",,8.00%,8.11,129.32,,,0.00,0.00,"37,000.00","37,129.32",0.00,,
28-Feb-2015,"37,000.00",,8.00%,8.11,137.42,,,0.00,0.00,"37,000.00","37,137.42",0.00,,
1-Mar-2015,"37,000.00",,8.00%,8.11,145.53,,,0.00,0.00,"37,000.00","37,145.53",0.00,,
2-Mar-2015,"37,000.00",,8.00%,8.11,153.64,,,0.00,0.00,"37,000.00","37,153.64",0.00,,
3-Mar-2015,"37,000.00",,8.00%,8.11,161.75,,,0.00,0.00,"37,000.00","37,161.75",0.00,,
4-Mar-2015,"37,000.00",,8.00%,8.11,169.86,,,0.00,0.00,"37,000.00","37,169.86",0.00,,
5-Mar-2015,"37,000.00",,8.00%,8.11,177.97,,,0.00,0.00,"37,000.00","37,177.97",0.00,,
6-Mar-2015,"37,000.00",,8.00%,8.11,186.08,,,0.00,0.00,"37,000.00","37,186.08",0.00,,
7-Mar-2015,"37,000.00",,8.00%,8.11,194.19,,,0.00,0.00,"37,000.00","37,194.19",0.00,,
8-Mar-2015,"37,000.00",,8.00%,8.11,202.30,,,0.00,0.00,"37,000.00","37,202.30",0.00,,
9-Mar-2015,"37,000.00",,8.00%,8.11,210.41,,,0.00,0.00,"37,000.00","37,210.41",0.00,,
10-Mar-2015,"37,000.00",,8.00%,8.11,218.52,,,0.00,0.00,"37,000.00","37,218.52",0.00,,
11-Mar-2015,"37,000.00",,8.00%,8.11,226.63,,,0.00,0.00,"37,000.00","37,226.63",0.00,,
12-Mar-2015,"37,000.00",,8.00%,8.11,234.74,,,0.00,0.00,"37,000.00","37,234.74",0.00,,
13-Mar-2015,"37,000.00",,8.00%,8.11,242.85,,,0.00,0.00,"37,000.00","37,242.85",0.00,,
14-Mar-2015,"37,000.00",,8.00%,8.11,250.96,,,0.00,0.00,"37,000.00","37,250.96",0.00,,
15-Mar-2015,"37,000.00",,8.00%,8.11,259.07,,,0.00,0.00,"37,000.00","37,259.07",0.00,,
16-Mar-2015,"37,000.00",,8.00%,8.11,267.18,,,0.00,0.00,"37,000.00","37,267.18",0.00,,
17-Mar-2015,"37,000.00",,8.00%,8.11,275.29,,,0.00,0.00,"37,000.00","37,275.29",0.00,,
18-Mar-2015,"37,000.00",,8.00%,8.11,283.40,,,0.00,0.00,"37,000.00","37,283.40",0.00,,
19-Mar-2015,"37,000.00",,8.00%,8.11,291.51,,,0.00,0.00,"37,000.00","37,291.51",0.00,,
20-Mar-2015,"37,000.00",,8.00%,8.11,299.62,,,0.00,0.00,"37,000.00","37,299.62",0.00,,
21-Mar-2015,"37,000.00",,8.00%,8.11,307.73,,,0.00,0.00,"37,000.00","37,307.73",0.00,,
22-Mar-2015,"37,000.00",,8.00%,8.11,315.84,,,0.00,0.00,"37,000.00","37,315.84",0.00,,
23-Mar-2015,"37,000.00",,8.00%,8.11,323.95,,,0.00,0.00,"37,000.00","37,323.95",0.00,,
24-Mar-2015,"37,000.00",,8.00%,8.11,332.05,,,0.00,0.00,"37,000.00","37,332.05",0.00,,
25-Mar-2015,"60,100.00",,8.00%,13.17,345.23,,,0.00,0.00,"60,100.00","60,445.23",0.00,,
26-Mar-2015,"60,100.00",,8.00%,13.17,358.40,,,0.00,0.00,"60,100.00","60,458.40",0.00,,
27-Mar-2015,"60,100.00",,8.00%,13.17,371.57,,,0.00,0.00,"60,100.00","60,471.57",0.00,,
28-Mar-2015,"60,100.00",,8.00%,13.17,384.75,,,0.00,0.00,"60,100.00","60,484.75",0.00,,
29-Mar-2015,"60,100.00",,8.00%,13.17,397.92,,,0.00,0.00,"60,100.00","60,497.92",0.00,,
30-Mar-2015,"60,100.00",,8.00%,13.17,411.09,,,0.00,0.00,"60,100.00","60,511.09",0.00,,
31-Mar-2015,"60,100.00",,8.00%,13.17,424.26,,,0.00,0.00,"60,100.00","60,524.26",0.00,,
1-Apr-2015,"60,100.00",,8.00%,13.17,437.44,,,0.00,0.00,"60,100.00","60,537.44",0.00,,
2-Apr-2015,"60,100.00",,8.00%,13.17,450.61,,,0.00,0.00,"60,100.00","60,550.61",0.00,,
3-Apr-2015,"60,100.00",,8.00%,13.17,463.78,,,0.00,0.00,"60,100.00","60,563.78",0.00,,
4-Apr-2015,"60,100.00",,8.00%,13.17,476.95,,,0.00,0.00,"60,100.00","60,576.95",0.00,,
5-Apr-2015,"60,100.00",,8.00%,13.17,490.13,,,0.00,0.00,"60,100.00","60,590.13",0.00,,
6-Apr-2015,"60,100.00",,8.00%,13.17,503.30,,,0.00,0.00,"60,100.00","60,603.30",0.00,,
7-Apr-2015,"60,100.00",,8.00%,13.17,516.47,,,0.00,0.00,"60,100.00","60,616.47",0.00,,
8-Apr-2015,"60,100.00",,8.00%,13.17,529.64,,,0.00,0.00,"60,100.00","60,629.64",0.00,,
9-Apr-2015,"60,100.00",,8.00%,13.17,542.82,,,0.00,0.00,"60,100.00","60,642.82",0.00,,
10-Apr-2015,"60,100.00",,8.00%,13.17,555.99,,,0.00,0.00,"60,100.00","60,655.99",0.00,,
11-Apr-2015,"60,100.00",,8.00%,13.17,569.16,,,0.00,0.00,"60,100.00","60,669.16",0.00,,
12-Apr-2015,"60,100.00",,8.00%,13.17,582.33,,,0.00,0.00,"60,100.00","60,682.33",0.00,,
13-Apr-2015,"60,100.00",,8.00%,13.17,595.51,,,0.00,0.00,"60,100.00","60,695.51",0.00,,
14-Apr-2015,"60,100.00",,8.00%,13.17,608.68,,,0.00,0.00,"60,100.00","60,708.68",0.00,,
15-Apr-2015,"60,100.00",,8.00%,13.17,621.85,,,0.00,0.00,"60,100.00","60,721.85",0.00,,
16-Apr-2015,"60,100.00",,8.00%,13.17,635.02,,,0.00,0.00,"60,100.00","60,735.02",0.00,,
17-Apr-2015,"60,100.00",,8.00%,13.17,648.20,,,0.00,0.00,"60,100.00","60,748.20",0.00,,
18-Apr-2015,"60,100.00",,8.00%,13.17,661.37,,,0.00,0.00,"60,100.00","60,761.37",0.00,,
19-Apr-2015,"60,100.00",,8.00%,13.17,674.54,,,0.00,0.00,"60,100.00","60,774.54",0.00,,
20-Apr-2015,"60,100.00",,8.00%,13.17,687.72,,,0.00,0.00,"60,100.00","60,787.72",0.00,,
21-Apr-2015,"83,100.00",,8.00%,18.21,705.93,,,0.00,0.00,"83,100.00","83,805.93",0.00,,
22-Apr-2015,"83,100.00",,8.00%,18.21,724.14,,,0.00,0.00,"83,100.00","83,824.14",0.00,,
23-Apr-2015,"83,100.00",,8.00%,18.21,742.36,,,0.00,0.00,"83,100.00","83,842.36",0.00,,
24-Apr-2015,"83,100.00",,8.00%,18.21,760.57,,,0.00,0.00,"83,100.00","83,860.57",0.00,,
25-Apr-2015,"83,100.00",,8.00%,18.21,778.78,,,0.00,0.00,"83,100.00","83,878.78",0.00,,
26-Apr-2015,"83,100.00",,8.00%,18.21,797.00,,,0.00,0.00,"83,100.00","83,897.00",0.00,,
27-Apr-2015,"83,100.00",,8.00%,18.21,815.21,,,0.00,0.00,"83,100.00","83,915.21",0.00,,
28-Apr-2015,"83,100.00",,8.00%,18.21,833.42,,,0.00,0.00,"83,100.00","83,933.42",0.00,,
29-Apr-2015,"83,100.00",,8.00%,18.21,851.64,,,0.00,0.00,"83,100.00","83,951.64",0.00,,
30-Apr-2015,"83,100.00",,8.00%,18.21,869.85,,,0.00,0.00,"83,100.00","83,969.85",0.00,,
1-May-2015,"83,100.00",,8.00%,18.21,888.07,,,0.00,0.00,"83,100.00","83,988.07",0.00,,
2-May-2015,"83,100.00",,8.00%,18.21,906.28,,,0.00,0.00,"83,100.00","84,006.28",0.00,,
3-May-2015,"83,100.00",,8.00%,18.21,924.49,,,0.00,0.00,"83,100.00","84,024.49",0.00,,
4-May-2015,"83,100.00",,8.00%,18.21,942.71,,,0.00,0.00,"83,100.00","84,042.71",0.00,,
5-May-2015,"83,100.00",,8.00%,18.21,960.92,,,0.00,0.00,"83,100.00","84,060.92",0.00,,
6-May-2015,"83,100.00",,8.00%,18.21,979.13,,,0.00,0.00,"83,100.00","84,079.13",0.00,,
7-May-2015,"83,100.00",,8.00%,18.21,997.35,,,0.00,0.00,"83,100.00","84,097.35",0.00,,
8-May-2015,"83,100.00",,8.00%,18.21,"1,015.56",,,0.00,0.00,"83,100.00","84,115.56",0.00,,
9-May-2015,"83,100.00",,8.00%,18.21,"1,033.78",,,0.00,0.00,"83,100.00","84,133.78",0.00,,
10-May-2015,"83,100.00",,8.00%,18.21,"1,051.99",,,0.00,0.00,"83,100.00","84,151.99",0.00,,
11-May-2015,"83,100.00",,8.00%,18.21,"1,070.20",,,0.00,0.00,"83,100.00","84,170.20",0.00,,
12-May-2015,"83,100.00",,8.00%,18.21,"1,088.42",,,0.00,0.00,"83,100.00","84,188.42",0.00,,
13-May-2015,"83,100.00",,8.00%,18.21,"1,106.63",,,0.00,0.00,"83,100.00","84,206.63",0.00,,
14-May-2015,"83,100.00",,8.00%,18.21,"1,124.84",,,0.00,0.00,"83,100.00","84,224.84",0.00,,
15-May-2015,"83,100.00",,8.00%,18.21,"1,143.06",,,0.00,0.00,"83,100.00","84,243.06",0.00,,
16-May-2015,"83,100.00",,8.00%,18.21,"1,161.27",,,0.00,0.00,"83,100.00","84,261.27",0.00,,
17-May-2015,"83,100.00",,8.00%,18.21,"1,179.48",,,0.00,0.00,"83,100.00","84,279.48",0.00,,
18-May-2015,"83,100.00",,8.00%,18.21,"1,197.70",,,0.00,0.00,"83,100.00","84,297.70",0.00,,
19-May-2015,"83,100.00",,8.00%,18.21,"1,215.91",,,0.00,0.00,"83,100.00","84,315.91",0.00,,
20-May-2015,"83,100.00",,8.00%,18.21,"1,234.13",,,0.00,0.00,"83,100.00","84,334.13",0.00,,
21-May-2015,"83,100.00",,8.00%,18.21,"1,252.34",,,0.00,0.00,"83,100.00","84,352.34",0.00,,
22-May-2015,"83,100.00",,8.00%,18.21,"1,270.55",,,0.00,0.00,"83,100.00","84,370.55",0.00,,
23-May-2015,"83,100.00",,8.00%,18.21,"1,288.77",,,0.00,0.00,"83,100.00","84,388.77",0.00,,
24-May-2015,"83,100.00",,8.00%,18.21,"1,306.98",,,0.00,0.00,"83,100.00","84,406.98",0.00,,
25-May-2015,"83,100.00",,8.00%,18.21,"1,325.19",,,0.00,0.00,"83,100.00","84,425.19",0.00,,
26-May-2015,"108,200.00",,8.00%,23.72,"1,348.91",,,0.00,0.00,"108,200.00","109,548.91",0.00,,
27-May-2015,"108,200.00",,8.00%,23.72,"1,372.62",,,0.00,0.00,"108,200.00","109,572.62",0.00,,
28-May-2015,"108,200.00",,8.00%,23.72,"1,396.34",,,0.00,0.00,"108,200.00","109,596.34",0.00,,
29-May-2015,"108,200.00",,8.00%,23.72,"1,420.05",,,0.00,0.00,"108,200.00","109,620.05",0.00,,
30-May-2015,"108,200.00",,8.00%,23.72,"1,443.77",,,0.00,0.00,"108,200.00","109,643.77",0.00,,
31-May-2015,"108,200.00",,8.00%,23.72,"1,467.48",,,0.00,0.00,"108,200.00","109,667.48",0.00,,
1-Jun-2015,"108,200.00",,8.00%,23.72,"1,491.20",,,0.00,0.00,"108,200.00","109,691.20",0.00,,
2-Jun-2015,"108,200.00",,8.00%,23.72,"1,514.92",,,0.00,0.00,"108,200.00","109,714.92",0.00,,
3-Jun-2015,"108,200.00",,8.00%,23.72,"1,538.63",,,0.00,0.00,"108,200.00","109,738.63",0.00,,
4-Jun-2015,"108,200.00",,8.00%,23.72,"1,562.35",,,0.00,0.00,"108,200.00","109,762.35",0.00,,
5-Jun-2015,"108,200.00",,8.00%,23.72,"1,586.06",,,0.00,0.00,"108,200.00","109,786.06",0.00,,
6-Jun-2015,"108,200.00",,8.00%,23.72,"1,609.78",,,0.00,0.00,"108,200.00","109,809.78",0.00,,
7-Jun-2015,"108,200.00",,8.00%,23.72,"1,633.49",,,0.00,0.00,"108,200.00","109,833.49",0.00,,
8-Jun-2015,"108,200.00",,8.00%,23.72,"1,657.21",,,0.00,0.00,"108,200.00","109,857.21",0.00,,
9-Jun-2015,"108,200.00",,8.00%,23.72,"1,680.92",,,0.00,0.00,"108,200.00","109,880.92",0.00,,
10-Jun-2015,"108,200.00",,8.00%,23.72,"1,704.64",,,0.00,0.00,"108,200.00","109,904.64",0.00,,
11-Jun-2015,"108,200.00",,8.00%,23.72,"1,728.35",,,0.00,0.00,"108,200.00","109,928.35",0.00,,
12-Jun-2015,"108,200.00",,8.00%,23.72,"1,752.07",,,0.00,0.00,"108,200.00","109,952.07",0.00,,
13-Jun-2015,"108,200.00",,8.00%,23.72,"1,775.78",,,0.00,0.00,"108,200.00","109,975.78",0.00,,
14-Jun-2015,"108,200.00",,8.00%,23.72,"1,799.50",,,0.00,0.00,"108,200.00","109,999.50",0.00,,
15-Jun-2015,"108,200.00",,8.00%,23.72,"1,823.21",,,0.00,0.00,"108,200.00","110,023.21",0.00,,
16-Jun-2015,"108,200.00",,8.00%,23.72,"1,846.93",,,0.00,0.00,"108,200.00","110,046.93",0.00,,
17-Jun-2015,"108,200.00",,8.00%,23.72,"1,870.64",,,0.00,0.00,"108,200.00","110,070.64",0.00,,
18-Jun-2015,"108,200.00",,8.00%,23.72,"1,894.36",,,0.00,0.00,"108,200.00","110,094.36",0.00,,
19-Jun-2015,"108,200.00",,8.00%,23.72,"1,918.07",,,0.00,0.00,"108,200.00","110,118.07",0.00,,
20-Jun-2015,"108,200.00",,8.00%,23.72,"1,941.79",,,0.00,0.00,"108,200.00","110,141.79",0.00,,
21-Jun-2015,"108,200.00",,8.00%,23.72,"1,965.50",,,0.00,0.00,"108,200.00","110,165.50",0.00,,
22-Jun-2015,"130,500.00",,8.00%,28.60,"1,994.10",,,0.00,0.00,"130,500.00","132,494.10",0.00,,
23-Jun-2015,"130,500.00",,8.00%,28.60,"2,022.71",,,0.00,0.00,"130,500.00","132,522.71",0.00,,
24-Jun-2015,"130,500.00",,8.00%,28.60,"2,051.31",,,0.00,0.00,"130,500.00","132,551.31",0.00,,
25-Jun-2015,"130,500.00",,8.00%,28.60,"2,079.91",,,0.00,0.00,"130,500.00","132,579.91",0.00,,
26-Jun-2015,"130,500.00",,8.00%,28.60,"2,108.52",,,0.00,0.00,"130,500.00","132,608.52",0.00,,
27-Jun-2015,"130,500.00",,8.00%,28.60,"2,137.12",,,0.00,0.00,"130,500.00","132,637.12",0.00,,
28-Jun-2015,"130,500.00",,8.00%,28.60,"2,165.72",,,0.00,0.00,"130,500.00","132,665.72",0.00,,
29-Jun-2015,"130,500.00",,8.00%,28.60,"2,194.32",,,0.00,0.00,"130,500.00","132,694.32",0.00,,
30-Jun-2015,"130,500.00",,8.00%,28.60,"2,222.93",,,0.00,0.00,"130,500.00","132,722.93",0.00,,
1-Jul-2015,"130,500.00",,8.00%,28.60,"2,251.53",,,0.00,0.00,"130,500.00","132,751.53",0.00,,
2-Jul-2015,"130,500.00",,8.00%,28.60,"2,280.13",,,0.00,0.00,"130,500.00","132,780.13",0.00,,
3-Jul-2015,"130,500.00",,8.00%,28.60,"2,308.73",,,0.00,0.00,"130,500.00","132,808.73",0.00,,
4-Jul-2015,"130,500.00",,8.00%,28.60,"2,337.34",,,0.00,0.00,"130,500.00","132,837.34",0.00,,
5-Jul-2015,"130,500.00",,8.00%,28.60,"2,365.94",,,0.00,0.00,"130,500.00","132,865.94",0.00,,
6-Jul-2015,"130,500.00",,8.00%,28.60,"2,394.54",,,0.00,0.00,"130,500.00","132,894.54",0.00,,
7-Jul-2015,"130,500.00",,8.00%,28.60,"2,423.15",,,0.00,0.00,"130,500.00","132,923.15",0.00,,
8-Jul-2015,"130,500.00",,8.00%,28.60,"2,451.75",,,0.00,0.00,"130,500.00","132,951.75",0.00,,
9-Jul-2015,"130,500.00",,8.00%,28.60,"2,480.35",,,0.00,0.00,"130,500.00","132,980.35",0.00,,
10-Jul-2015,"130,500.00",,8.00%,28.60,"2,508.95",,,0.00,0.00,"130,500.00","133,008.95",0.00,,
11-Jul-2015,"130,500.00",,8.00%,28.60,"2,537.56",,,0.00,0.00,"130,500.00","133,037.56",0.00,,
12-Jul-2015,"130,500.00",,8.00%,28.60,"2,566.16",,,0.00,0.00,"130,500.00","133,066.16",0.00,,
13-Jul-2015,"130,500.00",,8.00%,28.60,"2,594.76",,,0.00,0.00,"130,500.00","133,094.76",0.00,,
14-Jul-2015,"130,500.00",,8.00%,28.60,"2,623.36",,,0.00,0.00,"130,500.00","133,123.36",0.00,,
15-Jul-2015,"130,500.00",,8.00%,28.60,"2,651.97",,,0.00,0.00,"130,500.00","133,151.97",0.00,,
16-Jul-2015,"130,500.00",,8.00%,28.60,"2,680.57",,,0.00,0.00,"130,500.00","133,180.57",0.00,,
17-Jul-2015,"130,500.00",,8.00%,28.60,"2,709.17",,,0.00,0.00,"130,500.00","133,209.17",0.00,,
18-Jul-2015,"130,500.00",,8.00%,28.60,"2,737.78",,,0.00,0.00,"130,500.00","133,237.78",0.00,,
19-Jul-2015,"130,500.00",,8.00%,28.60,"2,766.38",,,0.00,0.00,"130,500.00","133,266.38",0.00,,
20-Jul-2015,"130,500.00",,8.00%,28.60,"2,794.98",,,0.00,0.00,"130,500.00","133,294.98",0.00,,
21-Jul-2015,"130,500.00",,8.00%,28.60,"2,823.58",,,0.00,0.00,"130,500.00","133,323.58",0.00,,
22-Jul-2015,"153,000.00",,8.00%,33.53,"2,857.12",,,0.00,0.00,"153,000.00","155,857.12",0.00,,
23-Jul-2015,"153,000.00",,8.00%,33.53,"2,890.65",,,0.00,0.00,"153,000.00","155,890.65",0.00,,
24-Jul-2015,"153,000.00",,8.00%,33.53,"2,924.19",,,0.00,0.00,"153,000.00","155,924.19",0.00,,
25-Jul-2015,"153,000.00",,8.00%,33.53,"2,957.72",,,0.00,0.00,"153,000.00","155,957.72",0.00,,
26-Jul-2015,"153,000.00",,8.00%,33.53,"2,991.25",,,0.00,0.00,"153,000.00","155,991.25",0.00,,
27-Jul-2015,"153,000.00",,8.00%,33.53,"3,024.79",,,0.00,0.00,"153,000.00","156,024.79",0.00,,
28-Jul-2015,"153,000.00",,8.00%,33.53,"3,058.32",,,0.00,0.00,"153,000.00","156,058.32",0.00,,
29-Jul-2015,"153,000.00",,8.00%,33.53,"3,091.86",,,0.00,0.00,"153,000.00","156,091.86",0.00,,
30-Jul-2015,"154,000.00",,8.00%,33.75,"3,125.61",,,0.00,0.00,"154,000.00","157,125.61",0.00,,
31-Jul-2015,"154,000.00",,8.00%,33.75,"3,159.36",,,0.00,0.00,"154,000.00","157,159.36",0.00,,
1-Aug-2015,"154,000.00",,8.00%,33.75,"3,193.12",,,0.00,0.00,"154,000.00","157,193.12",0.00,,
2-Aug-2015,"154,000.00",,8.00%,33.75,"3,226.87",,,0.00,0.00,"154,000.00","157,226.87",0.00,,
3-Aug-2015,"154,000.00",,8.00%,33.75,"3,260.62",,,0.00,0.00,"154,000.00","157,260.62",0.00,,
4-Aug-2015,"154,000.00",,8.00%,33.75,"3,294.38",,,0.00,0.00,"154,000.00","157,294.38",0.00,,
5-Aug-2015,"154,000.00",,8.00%,33.75,"3,328.13",,,0.00,0.00,"154,000.00","157,328.13",0.00,,
6-Aug-2015,"154,000.00",,8.00%,33.75,"3,361.88",,,0.00,0.00,"154,000.00","157,361.88",0.00,,
7-Aug-2015,"154,000.00",,8.00%,33.75,"3,395.64",,,0.00,0.00,"154,000.00","157,395.64",0.00,,
8-Aug-2015,"154,000.00",,8.00%,33.75,"3,429.39",,,0.00,0.00,"154,000.00","157,429.39",0.00,,
9-Aug-2015,"154,000.00",,8.00%,33.75,"3,463.15",,,0.00,0.00,"154,000.00","157,463.15",0.00,,
10-Aug-2015,"154,000.00",,8.00%,33.75,"3,496.90",,,0.00,0.00,"154,000.00","157,496.90",0.00,,
11-Aug-2015,"154,000.00",,8.00%,33.75,"3,530.65",,,0.00,0.00,"154,000.00","157,530.65",0.00,,
12-Aug-2015,"154,000.00",,8.00%,33.75,"3,564.41",,,0.00,0.00,"154,000.00","157,564.41",0.00,,
13-Aug-2015,"154,000.00",,8.00%,33.75,"3,598.16",,,0.00,0.00,"154,000.00","157,598.16",0.00,,
14-Aug-2015,"154,000.00",,8.00%,33.75,"3,631.91",,,0.00,0.00,"154,000.00","157,631.91",0.00,,
15-Aug-2015,"154,000.00",,8.00%,33.75,"3,665.67",,,0.00,0.00,"154,000.00","157,665.67",0.00,,
16-Aug-2015,"154,000.00",,8.00%,33.75,"3,699.42",,,0.00,0.00,"154,000.00","157,699.42",0.00,,
17-Aug-2015,"154,000.00",,8.00%,33.75,"3,733.17",,,0.00,0.00,"154,000.00","157,733.17",0.00,,
18-Aug-2015,"154,000.00",,8.00%,33.75,"3,766.93",,,0.00,0.00,"154,000.00","157,766.93",0.00,,
19-Aug-2015,"154,000.00",,8.00%,33.75,"3,800.68",,,0.00,0.00,"154,000.00","157,800.68",0.00,,
20-Aug-2015,"176,400.00",,8.00%,38.66,"3,839.34",,,0.00,0.00,"176,400.00","180,239.34",0.00,,
21-Aug-2015,"176,400.00",,8.00%,38.66,"3,878.01",,,0.00,0.00,"176,400.00","180,278.01",0.00,,
22-Aug-2015,"176,400.00",,8.00%,38.66,"3,916.67",,,0.00,0.00,"176,400.00","180,316.67",0.00,,
23-Aug-2015,"176,400.00",,8.00%,38.66,"3,955.33",,,0.00,0.00,"176,400.00","180,355.33",0.00,,
24-Aug-2015,"176,400.00",,8.00%,38.66,"3,993.99",,,0.00,0.00,"176,400.00","180,393.99",0.00,,
25-Aug-2015,"176,400.00",,8.00%,38.66,"4,032.66",,,0.00,0.00,"176,400.00","180,432.66",0.00,,
26-Aug-2015,"176,400.00",,8.00%,38.66,"4,071.32",,,0.00,0.00,"176,400.00","180,471.32",0.00,,
27-Aug-2015,"176,400.00",,8.00%,38.66,"4,109.98",,,0.00,0.00,"176,400.00","180,509.98",0.00,,
28-Aug-2015,"176,400.00",,8.00%,38.66,"4,148.65",,,0.00,0.00,"176,400.00","180,548.65",0.00,,
29-Aug-2015,"176,400.00",,8.00%,38.66,"4,187.31",,,0.00,0.00,"176,400.00","180,587.31",0.00,,
30-Aug-2015,"176,400.00",,8.00%,38.66,"4,225.97",,,0.00,0.00,"176,400.00","180,625.97",0.00,,
31-Aug-2015,"176,400.00",,8.00%,38.66,"4,264.64",,,0.00,0.00,"176,400.00","180,664.64",0.00,,
1-Sep-2015,"176,400.00",,8.00%,38.66,"4,303.30",,,0.00,0.00,"176,400.00","180,703.30",0.00,,
2-Sep-2015,"176,400.00",,8.00%,38.66,"4,341.96",,,0.00,0.00,"176,400.00","180,741.96",0.00,,
3-Sep-2015,"176,400.00",,8.00%,38.66,"4,380.62",,,0.00,0.00,"176,400.00","180,780.62",0.00,,
4-Sep-2015,"176,400.00",,8.00%,38.66,"4,419.29",,,0.00,0.00,"176,400.00","180,819.29",0.00,,
5-Sep-2015,"176,400.00",,8.00%,38.66,"4,457.95",,,0.00,0.00,"176,400.00","180,857.95",0.00,,
6-Sep-2015,"176,400.00",,8.00%,38.66,"4,496.61",,,0.00,0.00,"176,400.00","180,896.61",0.00,,
7-Sep-2015,"176,400.00",,8.00%,38.66,"4,535.28",,,0.00,0.00,"176,400.00","180,935.28",0.00,,
